Population,MedianIncome,RegionName,year,state_fip,_last_synced_
52433,72074,36695,2021,1,2023-12-02 16:47:54
21247,40226,36701,2021,1,2023-12-02 16:47:54
12471,28513,36703,2021,1,2023-12-02 16:47:54
4986,38687,36726,2021,1,2023-12-02 16:47:54
7425,41603,36732,2021,1,2023-12-02 16:47:54
1083,-666666666,36740,2021,1,2023-12-02 16:47:54
2917,32150,36742,2021,1,2023-12-02 16:47:54
5681,29876,36744,2021,1,2023-12-02 16:47:54
2520,42470,36748,2021,1,2023-12-02 16:47:54
2320,55729,36750,2021,1,2023-12-02 16:47:54
538,44500,36751,2021,1,2023-12-02 16:47:54
1014,32321,36752,2021,1,2023-12-02 16:47:54
5180,29543,36756,2021,1,2023-12-02 16:47:54
1367,66625,36758,2021,1,2023-12-02 16:47:54
2106,31111,36759,2021,1,2023-12-02 16:47:54
667,24653,36761,2021,1,2023-12-02 16:47:54
1554,24338,36765,2021,1,2023-12-02 16:47:54
1383,28201,36767,2021,1,2023-12-02 16:47:54
1319,55014,36775,2021,1,2023-12-02 16:47:54
6019,44688,36784,2021,1,2023-12-02 16:47:54
916,37292,36785,2021,1,2023-12-02 16:47:54
1246,72762,36792,2021,1,2023-12-02 16:47:54
680,77257,36793,2021,1,2023-12-02 16:47:54
23566,50224,36801,2021,1,2023-12-02 16:47:54
19307,51699,36804,2021,1,2023-12-02 16:47:54
48282,63012,36830,2021,1,2023-12-02 16:47:54
27384,32618,36832,2021,1,2023-12-02 16:47:54
2799,38290,36850,2021,1,2023-12-02 16:47:54
2862,60625,36852,2021,1,2023-12-02 16:47:54
8163,56727,36853,2021,1,2023-12-02 16:47:54
16226,53528,36854,2021,1,2023-12-02 16:47:54
1305,53442,36855,2021,1,2023-12-02 16:47:54
8606,61527,36856,2021,1,2023-12-02 16:47:54
1854,41910,36860,2021,1,2023-12-02 16:47:54
2816,60000,36861,2021,1,2023-12-02 16:47:54
5380,39077,36862,2021,1,2023-12-02 16:47:54
12408,44543,36863,2021,1,2023-12-02 16:47:54
4145,52123,36866,2021,1,2023-12-02 16:47:54
21298,42914,36867,2021,1,2023-12-02 16:47:54
22109,42004,36869,2021,1,2023-12-02 16:47:54
19581,66082,36870,2021,1,2023-12-02 16:47:54
1085,35083,36871,2021,1,2023-12-02 16:47:54
9488,59985,36874,2021,1,2023-12-02 16:47:54
3732,56553,36875,2021,1,2023-12-02 16:47:54
12904,56117,36877,2021,1,2023-12-02 16:47:54
2583,118929,36879,2021,1,2023-12-02 16:47:54
3842,37898,36904,2021,1,2023-12-02 16:47:54
1800,35000,36907,2021,1,2023-12-02 16:47:54
2863,31966,36925,2021,1,2023-12-02 16:47:54
184,25662,35060,2021,1,2023-12-02 16:47:55
395,105200,36013,2021,1,2023-12-02 16:47:55
1030,23944,36205,2021,1,2023-12-02 16:47:55
531,50762,36314,2021,1,2023-12-02 16:47:55
651,54688,36317,2021,1,2023-12-02 16:47:55
434,35750,36371,2021,1,2023-12-02 16:47:55
619,59063,36436,2021,1,2023-12-02 16:47:55
545,51350,36483,2021,1,2023-12-02 16:47:55
355,53795,36511,2021,1,2023-12-02 16:47:55
863,25824,36540,2021,1,2023-12-02 16:47:55
